"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.0765380859375","93.7623291015625","95.2861022949219","100.267097473145","99.4354400634766","97.2117691040039","95.5296020507812","100.635818481445","104.846458435059","96.9074935913086","99.5183868408203","96.1624069213867","95.9802322387695","109.417449951172","","","","","","137.537155151367","140.313613891602","132.908020019531","124.23558807373","136.216690063477","","",
"Africa Eastern and Southern","AFE","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","17.0703792572021","17.0910701751709","17.4003200531006","17.5800399780273","17.7034091949463","18.2366905212402","18.6968803405762","19.1301593780518","19.7233390808105","20.328670501709","21.0221405029297","21.5330104827881","22.3808002471924","23.0288600921631","23.7371406555176","24.5039596557617","24.7361793518066","24.7653102874756","24.661600112915","24.1962203979492","24.4128704071045","24.7756805419922","24.415060043335","24.5828495025635","25.0341796875","25.8681907653809","26.2008209228516","26.319450378418","27.1694602966309","27.4339294433594","27.6004199981689","28.6678905487061","29.3207302093506","29.9111099243164","31.3254203796387","32.3135108947754","33.8777389526367","35.3552894592285","36.879711151123","38.0843315124512","39.0978584289551","39.8236808776855","40.910758972168","41.6186714172363","42.7556381225586","42.7673301696777","42.8790588378906","43.140209197998","43.192928314209","43.3796195983887","43.6888198852539","43.8453788757324","43.7047004699707","","",
"Afghanistan","AFG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","8.88566017150879","9.95170974731445","11.0403900146484","11.5786199569702","11.7392597198486","12.2571201324463","13.1584596633911","13.9991502761841","14.5838003158569","","17.6115207672119","21.2858104705811","13.3190698623657","","15.0001802444458","14.6859302520752","13.2240104675293","","14.6678104400635","14.1261196136475","12.3093795776367","19.6126003265381","","18.6544399261475","24.9947395324707","23.9882106781006","","","","","","14.4715099334717","","14.078049659729","19.2631397247314","20.3119602203369","29.6913509368896","29.0891704559326","39.090030670166","44.3971710205078","50.413688659668","52.198429107666","54.2063903808594","54.7542190551758","54.235481262207","53.2851409912109","53.5063400268555","55.4021492004395","57.0392990112305","","","","","","",
"Africa Western and Central","AFW","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","7.9891300201416","8.22605991363525","8.66676998138428","9.1658296585083","9.47126007080078","9.93418979644775","10.4649095535278","11.0670003890991","12.1296396255493","13.3765201568604","15.1089401245117","17.1693000793457","19.236400604248","21.3491992950439","23.1533107757568","23.415979385376","22.195240020752","22.1854190826416","21.8059406280518","20.7317600250244","20.9771595001221","21.0498790740967","21.1501598358154","21.1847496032715","21.2240009307861","21.2823009490967","21.3255004882812","21.3025608062744","21.4341697692871","21.6885604858398","22.7439193725586","24.4286499023438","25.8500003814697","27.6583805084229","29.3260803222656","30.1212501525879","30.4047393798828","30.6056900024414","33.1533699035645","35.7537803649902","38.9419403076172","40.8010292053223","42.2815017700195","47.2872581481934","43.2917213439941","44.511589050293","43.0852012634277","43.2377891540527","43.544921875","44.7819519042969","45.6518211364746","46.538330078125","46.209041595459","46.6294403076172","",
"Angola","AGO","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","5.79869985580444","6.44589996337891","7.24727010726929","","","","","8.02388954162598","","10.3316497802734","13.3781499862671","9.57524013519287","8.81997966766357","11.1124897003174","9.6198902130127","11.0132303237915","10.6991300582886","9.01539039611816","9.95856952667236","9.1802396774292","9.68000030517578","10.8827600479126","","","","","","11.3911800384522","11.293270111084","12.8563404083252","14.4628095626831","15.6130504608154","","","","","","22.3172206878662","23.8500499725342","27.6820907592773","27.9312000274658","","","","","53.5814514160156","","","","","52.5437698364258","","","",
"Albania","ALB","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","","","","","","72.7228775024414","","75.0480270385742","77.0528335571289","79.1941070556641","80.5127334594727","77.2778701782227","73.2136077880859","73.9579391479492","77.492317199707","81.486701965332","82.583740234375","85.2534332275391","87.2449798583984","89.9155120849609","91.4158477783203","77.9591064453125","70.0243377685547","67.8661270141602","67.4602584838867","66.7441864013672","67.0927429199219","68.6502532958984","69.28466796875","","","74.5389175415039","77.751823425293","78.9801864624023","82.9714279174805","84.3257675170898","86.2188568115234","87.8338394165039","89.3157196044922","93.6818237304688","95.4705276489258","97.6080703735352","102.903213500977","103.321380615234","102.440727233887","99.1707611083984","97.5743713378906","98.8223876953125","99.0151519775391","95.9294509887695","97.6650314331055","97.3224716186523","96.1368789672852","",
"Andorra","AND","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","23.7221508026123","21.7968006134033","19.8295497894287","24.2771396636963","35.6116981506348","46.3388786315918","","","","","","","60.77294921875","","","","","","","","","","","","","","","","","","","76.6895217895508","76.0657272338867","76.2195129394531","86.0861587524414","86.146598815918","84.9232788085938","85.1802673339844","86.7272262573242","89.9800491333008","93.692268371582","92.2807006835938","90.9656677246094","91.8740692138672","92.5457992553711","94.2090682983398","94.3697509765625","95.0905990600586","95.6840591430664","96.4627532958984","97.3252334594727","97.4890365600586","99.7635498046875","",
"Arab World","ARB","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","25.6307506561279","25.7647304534912","26.2313899993896","27.1834201812744","28.035400390625","29.4554901123047","31.0973796844482","33.0984115600586","34.8689498901367","36.2759284973145","37.5573310852051","38.5814514160156","40.2227210998535","41.3920516967773","42.7126617431641","44.2180099487305","46.1423492431641","47.076530456543","47.4276809692383","48.1039085388184","50.8580513000488","51.0616989135742","50.1839408874512","50.8859100341797","52.878490447998","52.8887481689453","52.7200508117676","53.9447288513184","55.5271186828613","56.7634010314941","58.0424194335938","59.586311340332","60.7097206115723","62.6738510131836","64.2889099121094","64.3384780883789","64.1244812011719","63.0197982788086","63.3075981140137","64.8844833374023","65.8879928588867","67.7056503295898","68.2796173095703","66.6243667602539","67.1971969604492","67.7873992919922","68.2311019897461","68.7453384399414","68.9235305786133","69.118408203125","69.1489334106445","69.9297790527344","71.2276077270508","70.6840667724609","",
"United Arab Emirates","ARE","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","","12.5335597991943","14.6718997955322","15.3676795959473","14.7705898284912","19.0789604187012","30.1724605560303","31.8141803741455","33.6555595397949","38.707691192627","45.3168907165527","51.4409217834473","54.992618560791","57.8089981079102","61.4397315979004","64.0992889404297","65.9205474853516","55.6666488647461","52.3447685241699","52.305549621582","54.3731384277344","58.6791305541992","62.544921875","67.4532928466797","73.8205413818359","78.7071228027344","","67.7566909790039","62.6287002563477","","","","","","","","","","","","","","","","","","79.0212707519531","81.2523574829102","","82.3568878173828","83.4686508178711","","","101.944969177246","",
"Argentina","ARG","School enrollment, secondary (% gross)","SE.SEC.ENRR","","","","","","","","","","","44.7096214294434","45.6421089172363","47.4727096557617","49.9397087097168","52.7623901367188","54.3875503540039","55.8804817199707","55.6266784667969","55.3437309265137","54.9662895202637","55.6543884277344","56.8338584899902","58.731990814209","59.5923690795898","65.2604827880859","70.2103576660156","70.2377777099609","69.9169235229492","70.3989791870117","","72.4082183837891","73.7480773925781","","","71.0865631103516","","78.9764022827148","74.9484329223633","81.1133804321289","92.7628402709961","96.6217880249023","98.0622406005859","97.468132019043","96.5058364868164","95.9976196289062","94.1866607666016","92.9617309570312","92.6104202270508","93.5038223266602","96.6370162963867","99.2300033569336","100.993843078613","102.782302856445","104.596748352051","106.092132568359","107.549072265625","109.645942687988","110.412406921387","109.696998596191","110.498527526855","112.416679382324","116.559448242188","115.434867858887","","",
