"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Austria","AUT","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","38.3199996948242","","","","","","","","","","50.7099990844727","","","","","","","","","","52.0699996948242","","","","","","","","","","","","","","74.1999969482422","","73.5899963378906","72.4700012207031","75.8099975585938","76.5599975585938","76.4300003051758","76.9800033569336","77.3099975585938","78.4300003051758","79.0100021362305","79.370002746582","79.6600036621094","80.0708312988281","80.6699981689453","80.9440231323242","81.4542465209961","82.0893325805664","82.5592956542969","",
"Azerbaijan","AZE","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5299987792969","","","","","","","","88.4400024414062","88.5400009155273","88.6100006103516","88.6500015258789","88.6600036621094","88.7099990844727","88.7200012207031","88.7099990844727","88.6699981689453","88.6600036621094","88.5","88.4300003051758","88.4199981689453","","92.0473937988281","92.9022064208984","91.8099975585938","",
"Burundi","BDI","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.42000007629395","","","","","","3.32999992370605","","","5.59999990463257","","","","","","","",
"Belgium","BEL","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","14.0200004577637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7299995422363","","60.4199981689453","61.689998626709","61.7299995422363","62.7599983215332","63.2099990844727","64.2799987792969","64.0199966430664","66.2099990844727","67.0800018310547","69.1500015258789","70.8456954956055","71.4499969482422","72.7141799926758","74.2476806640625","75.1261901855469","","",
"Benin","BEN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","1.10000002384186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.9728984832764","","","","","","5.01374006271362","16.142448425293","7.52790021896362","","6.4660701751709","10.6921663284302","","",
"Burkina Faso","BFA","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.01000022888184","0.5","","","","","","","2.80999994277954","","","","6.15000009536743","7.82000017166138","","6.34940004348755","5.32541227340698","5.26034164428711","",
"Bangladesh","BGD","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","5.5","","","","","","","","","","","","","","","","","","","","17.1299991607666","","","","","","","","","","24.1800003051758","24.6800003051758","22.1900005340576","23.2199993133545","28.5599994659424","28.9699993133545","29.7900009155273","30.5400009155273","31.3299999237061","","33.6599998474121","29.3129501342773","","",
"Bulgaria","BGR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.4599990844727","","","","","64.4499969482422","67.0199966430664","67.6100006103516","68.2600021362305","69.6100006103516","70.6500015258789","72.4800033569336","73.9400024414062","73.8099975585938","74.9100036621094","75.5999984741211","76.4499969482422","76.9173965454102","77.1142807006836","77.7799987792969","78.4247741699219","79.3163833618164","","",
"Bahrain","BHR","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6500015258789","","","","","","","","","42.1100006103516","","","","","","54.0499992370605","56.5400009155273","64.9300003051758","","68.7399978637695","","66.9499969482422","66.7300033569336","",
"Bahamas, The","BHS","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.UP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.9400024414062","","","","","","","","","","81.879997253418","","","","","","","","","85.8606414794922","","","","90.9041137695312","",
