country,country_code,year,IP.PAT.RESD,indicator,indicator_code
North America,NAC,2017,297957,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2016,299405,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2015,292612,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2014,289294,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2013,292398,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2012,273491,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2011,252504,"Patent applications, residents",IP.PAT.RESD
North America,NAC,2010,246527,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2020,23872,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2019,20192,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2018,17008,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2017,15512,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2016,13775,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2015,13059,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2014,12240,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2013,11229,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2012,9723,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2011,9172,"Patent applications, residents",IP.PAT.RESD
South Asia,SAS,2010,9258,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2020,1834,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2019,1745,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2018,1970,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2017,1488,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2016,1485,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2015,1515,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2014,1125,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2013,1229,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2012,979,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2011,1200,"Patent applications, residents",IP.PAT.RESD
Sub-Saharan Africa,SSF,2010,1181,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2020,1391200,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2019,1289800,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2018,1441100,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2017,1292700,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2016,1253900,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2015,1018100,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2014,845100,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2013,754800,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2012,584600,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2011,462100,"Patent applications, residents",IP.PAT.RESD
Upper middle income,,2010,340900,"Patent applications, residents",IP.PAT.RESD
World,WLD,2021,2385200,"Patent applications, residents",IP.PAT.RESD
World,WLD,2020,2311500,"Patent applications, residents",IP.PAT.RESD
World,WLD,2019,2239200,"Patent applications, residents",IP.PAT.RESD
World,WLD,2018,2386300,"Patent applications, residents",IP.PAT.RESD
World,WLD,2017,2251400,"Patent applications, residents",IP.PAT.RESD
World,WLD,2016,2215100,"Patent applications, residents",IP.PAT.RESD
World,WLD,2015,1972500,"Patent applications, residents",IP.PAT.RESD
World,WLD,2014,1799200,"Patent applications, residents",IP.PAT.RESD
World,WLD,2013,1708700,"Patent applications, residents",IP.PAT.RESD
World,WLD,2012,1519700,"Patent applications, residents",IP.PAT.RESD
World,WLD,2011,1365200,"Patent applications, residents",IP.PAT.RESD
World,WLD,2010,1236900,"Patent applications, residents",IP.PAT.RESD
Albania,ALB,2021,23,"Patent applications, residents",IP.PAT.RESD
Albania,ALB,2019,4,"Patent applications, residents",IP.PAT.RESD
Albania,ALB,2018,15,"Patent applications, residents",IP.PAT.RESD
Albania,ALB,2017,16,"Patent applications, residents",IP.PAT.RESD
Albania,ALB,2016,20,"Patent applications, residents",IP.PAT.RESD
Albania,ALB,2015,14,"Patent applications, residents",IP.PAT.RESD
Albania,ALB,2014,10,"Patent applications, residents",IP.PAT.RESD
Albania,ALB,2011,3,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2021,268,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2020,163,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2019,113,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2018,152,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2017,149,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2016,106,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2015,89,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2014,94,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2013,118,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2012,119,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2011,94,"Patent applications, residents",IP.PAT.RESD
Algeria,DZA,2010,76,"Patent applications, residents",IP.PAT.RESD
Andorra,AND,2021,3,"Patent applications, residents",IP.PAT.RESD
Andorra,AND,2020,3,"Patent applications, residents",IP.PAT.RESD
Andorra,AND,2019,3,"Patent applications, residents",IP.PAT.RESD
Andorra,AND,2018,1,"Patent applications, residents",IP.PAT.RESD
Angola,AGO,2019,2,"Patent applications, residents",IP.PAT.RESD
Angola,AGO,2018,6,"Patent applications, residents",IP.PAT.RESD
Antigua and Barbuda,ATG,2018,5,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2021,406,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2020,930,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2019,442,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2018,425,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2017,393,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2016,884,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2015,546,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2014,509,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2013,643,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2012,735,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2011,688,"Patent applications, residents",IP.PAT.RESD
Argentina,ARG,2010,552,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2021,40,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2020,63,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2019,112,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2018,101,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2017,107,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2016,125,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2015,113,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2014,121,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2013,125,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2012,137,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2011,121,"Patent applications, residents",IP.PAT.RESD
Armenia,ARM,2010,136,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2021,2966,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2020,2368,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2019,2637,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2018,2757,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2017,2503,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2016,2620,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2015,2291,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2014,1988,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2013,3061,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2012,2627,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2011,2383,"Patent applications, residents",IP.PAT.RESD
Australia,AUS,2010,2409,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2021,1872,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2020,2124,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2019,2066,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2018,2039,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2017,2073,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2016,2078,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2015,2205,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2014,2092,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2013,2162,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2012,2258,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2011,2154,"Patent applications, residents",IP.PAT.RESD
Austria,AUT,2010,2424,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2021,119,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2020,90,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2019,147,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2018,155,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2017,204,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2016,144,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2015,184,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2014,168,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2013,156,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2012,144,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2011,193,"Patent applications, residents",IP.PAT.RESD
Azerbaijan,AZE,2010,254,"Patent applications, residents",IP.PAT.RESD
"Bahamas, The",BHS,2017,4,"Patent applications, residents",IP.PAT.RESD
"Bahamas, The",BHS,2016,3,"Patent applications, residents",IP.PAT.RESD
"Bahamas, The",BHS,2015,2,"Patent applications, residents",IP.PAT.RESD
"Bahamas, The",BHS,2014,1,"Patent applications, residents",IP.PAT.RESD
"Bahamas, The",BHS,2013,1,"Patent applications, residents",IP.PAT.RESD
"Bahamas, The",BHS,2012,3,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2021,3,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2020,7,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2019,4,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2018,11,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2017,8,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2016,6,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2015,8,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2014,6,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2013,3,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2012,3,"Patent applications, residents",IP.PAT.RESD
Bahrain,BHR,2011,1,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2021,74,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2020,40,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2019,68,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2018,69,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2017,61,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2016,77,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2015,41,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2014,44,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2013,60,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2012,67,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2011,37,"Patent applications, residents",IP.PAT.RESD
Bangladesh,BGD,2010,66,"Patent applications, residents",IP.PAT.RESD
Barbados,BRB,2021,73,"Patent applications, residents",IP.PAT.RESD
Barbados,BRB,2020,29,"Patent applications, residents",IP.PAT.RESD
Barbados,BRB,2014,1,"Patent applications, residents",IP.PAT.RESD
Barbados,BRB,2013,3,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2021,276,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2020,317,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2019,298,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2018,453,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2017,434,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2016,455,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2015,543,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2014,652,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2013,1489,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2012,1681,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2011,1725,"Patent applications, residents",IP.PAT.RESD
Belarus,BLR,2010,1759,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2021,799,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2020,862,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2019,876,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2018,892,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2017,1001,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2016,1054,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2015,949,"Patent applications, residents",IP.PAT.RESD
Belgium,BEL,2014,889,"Patent applications, residents",IP.PAT.RESD
