country_code,NY.GDP.PCAP.PP.KD,country_x,SE.SEC.ENRR,country_y,SE.XPD.TOTL.GD.ZS,country,hdi,life_expectancy,education_index,gni_per_capita,unemployment_rate,youth_unemployment,labor_force_participation
OMN,37560.5998714953,Oman,94.6001205444336,Oman,6.87769985198975,Oman,,,,,,,
OSS,22201.1396759721,Other small states,71.0276412963867,Other small states,5.36010456085205,Other small states,,,,,,,
PAK,5135.01459288839,Pakistan,39.6166540049859,Pakistan,2.05718231201172,Pakistan,,,,,,,
PAN,26881.7987053989,Panama,76.9188385009766,Panama,4.30284023284912,Panama,,,,,,,
PER,13609.5999609595,Peru,97.5327911376953,Peru,4.25937986373901,Peru,,,,,,,
PHL,8455.18457134106,Philippines,89.2450874983032,Philippines,3.85829043388367,Philippines,,,,,,,
PLW,18160.2545660593,Palau,150.818542480469,Palau,3.47118067741394,Palau,,,,,,,
PNG,4077.63132163554,Papua New Guinea,44.4107818603516,Papua New Guinea,1.49800002574921,Papua New Guinea,,,,,,,
POL,37852.8021313639,Poland,112.576263427734,Poland,4.85265016555786,Poland,,,,,,,
PRE,4011.63971384411,Pre-demographic dividend,43.1926612854004,Pre-demographic dividend,3.25443387031555,Pre-demographic dividend,,,,,,,
PRI,40171.38668761,Puerto Rico (US),93.1135482788086,Puerto Rico (US),6.07265996932983,Puerto Rico (US),,,,,,,
PRK,,,95.9569625854492,"Korea, Dem. People's Rep.",,,,,,,,,
PRT,36852.2283864876,Portugal,118.360000610352,Portugal,4.87656021118164,Portugal,,,,,,,
PRY,14991.6606201094,Paraguay,84.7876205444336,Paraguay,3.93615007400513,Paraguay,,,,,,,
PSE,5423.68254653126,West Bank and Gaza,89.0763092041016,West Bank and Gaza,4.72153997421265,West Bank and Gaza,,,,,,,
PSS,6504.36895836406,Pacific island small states,72.9494018554688,Pacific island small states,,,,,,,,,
PST,53105.1876614814,Post-demographic dividend,105.223876953125,Post-demographic dividend,5.0860800743103,Post-demographic dividend,,,,,,,
QAT,103061.913422502,Qatar,107.666152954102,Qatar,3.2336699962616,Qatar,,,,,,,
ROU,35482.1963127972,Romania,86.416877746582,Romania,3.58926010131836,Romania,,,,,,,
RUS,36376.3359375,Russian Federation,92.7522506713867,Russian Federation,4.01641845703125,Russian Federation,,,,,,,
RWA,2520.31739425373,Rwanda,44.0778999328613,Rwanda,3.33394289016724,Rwanda,,,,,,,
SAS,7399.21469055874,South Asia,71.083740234375,South Asia,2.90271109342575,South Asia,,,,,,,
SAU,57420.7335736424,Saudi Arabia,103.277328491211,Saudi Arabia,,,,,,,,,
SDN,3401.24975585938,Sudan,48.3620414733887,Sudan,,,,,,,,,
SEN,4018.04129277358,Senegal,46.3485488891602,Senegal,5.6869797706604,Senegal,,,,,,,
SGP,115893.042395938,Singapore,103.199592590332,Singapore,2.6869900226593,Singapore,,,,,,,
SLB,2515.12832791992,Solomon Islands,48.2561302185059,Solomon Islands,9.64354610443115,Solomon Islands,,,,,,,
SLE,2755.10252450787,Sierra Leone,60.2446899414062,Sierra Leone,8.80954837799072,Sierra Leone,,,,,,,
SLV,9692.44931605799,El Salvador,66.2030334472656,El Salvador,3.66088008880615,El Salvador,,,,,,,
SMR,55998.0710994561,San Marino,61.8604698181152,San Marino,3.4246199131012,San Marino,,,,,,,
SOM,1396.05343344361,Somalia,,,,,,,,,,,
SRB,21477.8772156464,Serbia,92.6907577514648,Serbia,3.61647009849548,Serbia,,,,,,,
SSA,4374.65283658504,Sub-Saharan Africa (excluding high income),44.5276985168457,Sub-Saharan Africa (excluding high income),3.78674006462097,Sub-Saharan Africa (excluding high income),,,,,,,
SSD,,,11.2309503555298,South Sudan,1.56539225578308,South Sudan,,,,,,,
SSF,4188.70458205777,Sub-Saharan Africa,44.5303802490234,Sub-Saharan Africa,3.8029705286026,Sub-Saharan Africa,,,,,,,
SST,20103.2490689357,Small states,73.1998291015625,Small states,4.85627222061157,Small states,,,,,,,
STP,5742.94724858826,Sao Tome and Principe,78.3800561981311,Sao Tome and Principe,5.0152382850647,Sao Tome and Principe,,,,,,,
SUR,19091.3617184226,Suriname,73.4222869873047,Suriname,4.58425712585449,Suriname,,,,,,,
SVK,36201.4154630885,Slovak Republic,90.813346862793,Slovak Republic,4.76427984237671,Slovak Republic,,,,,,,
SVN,42474.2247069866,Slovenia,110.359169006348,Slovenia,5.38373994827271,Slovenia,,,,,,,
SWE,59572.4747596976,Sweden,136.426132202148,Sweden,7.92561006546021,Sweden,,,,,,,
SWZ,9727.51390002527,Eswatini,85.9756088256836,Eswatini,5.36010456085205,Eswatini,,,,,,,
SXM,39265.7616790568,Sint Maarten (Dutch part),,,,,,,,,,,
SYC,30056.1994300968,Seychelles,102.188179016113,Seychelles,4.89120054244995,Seychelles,,,,,,,
SYR,4633.34951847728,Syrian Arab Republic,37.9215202331543,Syrian Arab Republic,,,,,,,,,
TCA,19702.5368196855,Turks and Caicos Islands,90.964590964591,Turks and Caicos Islands,2.42074680328369,Turks and Caicos Islands,,,,,,,
TCD,2513.01578402889,Chad,20.9835300445557,Chad,2.73960399627686,Chad,,,,,,,
TEA,17005.2114225129,East Asia & Pacific (IDA & IBRD countries),88.6012268066406,East Asia & Pacific (IDA & IBRD countries),3.21652889251709,East Asia & Pacific (IDA & IBRD countries),,,,,,,
TEC,27817.0186519078,Europe & Central Asia (IDA & IBRD countries),97.8085098266602,Europe & Central Asia (IDA & IBRD countries),4.38901996612549,Europe & Central Asia (IDA & IBRD countries),,,,,,,
TGO,2490.05293780864,Togo,61.2385215759277,Togo,4.09133672714233,Togo,,,,,,,
THA,19957.257140917,Thailand,108.779183101525,Thailand,3.15314173698425,Thailand,,,,,,,
TJK,3724.7489591466,Tajikistan,87.265519219648,Tajikistan,5.73725271224976,Tajikistan,,,,,,,
TKM,15791.1775857601,Turkmenistan,88.4751815795898,Turkmenistan,3.76267004013062,Turkmenistan,,,,,,,
TLA,17388.4796307677,Latin America & the Caribbean (IDA & IBRD countries),96.8990478515625,Latin America & the Caribbean (IDA & IBRD countries),4.51769828796387,Latin America & the Caribbean (IDA & IBRD countries),,,,,,,
TLS,6598.03459881019,Timor-Leste,85.2118561659316,Timor-Leste,3.65287351608276,Timor-Leste,,,,,,,
